343	8	0	0	0	0	0	14	8	0	14	22
428	1.5	8	7	9	3.5	5	20	16.5	17.5	20	54
529	6	7	3.5	7	11.5	8	17	16.5	26.5	17	60
535	4	8.5	2	6	6.5	8	21	14.5	20.5	21	56
580	1.5	1.5	5	0	0	0	0	8	0	0	8
560	3.5	3	7	9	9	8	20	13.5	26	20	59.5
562	7.5	9	11	11.5	11	0	12	27.5	22.5	12	62
563	5	3	10	4.5	4	0	6	18	8.5	6	32.5
564	6.5	9	11.5	12	14	8	23	27	34	23	84
565	6	7.5	6.5	12.5	15	0	16	20	27.5	16	63.5
566	8	4	7	11.5	14	0	19	19	25.5	19	63.5
567	8	6	11.5	14.5	11	8	19	25.5	33.5	19	78
568	4	9	6	10	10	8	3	19	28	3	50
569	1.5	1.5	5	7.5	0	0	5	8	7.5	5	20.5
570	6	6.5	3	6	9.5	0	8.5	15.5	15.5	8.5	39.5
571	8	9	3	8.5	14	4	14.5	20	26.5	14.5	61
572	6.5	9	10	11.5	10.5	8	1	25.5	30	1	56.5
573	7	7	8.5	12	14	8	13	22.5	34	13	69.5
574	7	9	4.5	10	13	8	17	20.5	31	17	68.5
575	5	9	4	16	10.5	6	14	18	32.5	14	64.5
576	6.5	8	6.5	14.5	9	5	15	21	28.5	15	64.5
577	8	9	9.5	14.5	12	8	25	26.5	34.5	25	86
578	6.5	5	5.5	3.5	6	7	7	17	16.5	7	40.5
579	5	8.5	9	6.5	16	0	10	22.5	22.5	10	55
580	8	9	6.5	6	11	5	21	23.5	22	21	66.5
581	6	9	8.5	12.5	9.5	4	19	23.5	26	19	68.5
583	5.5	9	9.5	13	8	0	16	24	21	16	61
584	7	9	3	7	10	8	17	19	25	17	61
585	5.5	4.5	7	13	9	1	18	17	23	18	58
586	8	5	6.5	7.5	11.5	8	18	19.5	27	18	64.5
587	6	8.5	10	10	12	8	21	24.5	30	21	75.5
588	7.5	9	13.5	15	16	8	18	30	39	18	87
